URL;Annotation Page Tag
http://www.theguardian.com/business/2014/jun/06/king-digital-entertainment-ceo-riccardo-zaconni;Science_technology
http://www.theguardian.com/business/2014/jun/12/central-banks-clean-up-financial-crises-federal-reserve;Economy_business_finance
http://www.theguardian.com/business/2014/jun/15/billion-dollar-technology-firms-europe-us-asos-zoopla-spotify;Economy_business_finance
http://www.theguardian.com/business/2014/jun/16/budget-airline-wizz-air-pulls-ipo;Economy_business_finance
http://www.theguardian.com/business/2014/jun/16/china-current-future-investments-18bn-trade-rail-nuclear;Economy_business_finance
http://www.theguardian.com/business/2014/jun/16/london-house-prices-off-boil-analysts;Economy_business_finance
http://www.theguardian.com/business/2014/jun/16/majestic-fine-wines-sales-dip;Economy_business_finance
http://www.theguardian.com/business/2014/jun/16/pound-hits-near-five-year-high-geopolitics-iraq-markets-oil-live;Economy_business_finance
http://www.theguardian.com/business/2014/jun/16/satellite-data-perspective-insurance-farming-piracy;Economy_business_finance
http://www.theguardian.com/business/2014/jun/16/starbucks-online-degree-us-employees-arizona;Economy_business_finance
http://www.theguardian.com/business/economics-blog/2014/jun/15/sharing-economy-uk-mobile-technology-uber-airbnb;Economy_business_finance
http://www.theguardian.com/business/feedarticle/11396525;Economy_business_finance
http://www.theguardian.com/business/feedarticle/11396575;Economy_business_finance
http://www.theguardian.com/business/feedarticle/11396582;Economy_business_finance
http://www.theguardian.com/business/feedarticle/11396647;Economy_business_finance
http://www.theguardian.com/business/feedarticle/11396679;Economy_business_finance
http://www.theguardian.com/business/feedarticle/11396705;Economy_business_finance
http://www.theguardian.com/business/feedarticle/11396706;Economy_business_finance
http://www.theguardian.com/business/grogonomics/2014/jun/16/joe-hockey-alls-fair-in-welfare-and-budgets;Economy_business_finance
http://www.theguardian.com/business/marketforceslive/2014/jun/16/bt-falls-pension-deficit-reports-rolls-royce;Economy_business_finance
http://www.theguardian.com/business/marketforceslive/2014/jun/16/debenhams-higher-before-update-888-new-jersery;Economy_business_finance
http://www.theguardian.com/business/marketforceslive/2014/jun/16/smith-nephew-leads-ftse-lower-bid-hopes-fade;Economy_business_finance
http://www.theguardian.com/business/nils-pratley-on-finance/2014/jun/16/mysale-mixup-ipo-hype-sir-philip-green;Economy_business_finance
http://www.theguardian.com/commentisfree/2014/jun/09/andy-murray-amelie-mauresmo-quota;Sports
